Composer	Title	RISM ID	A number	B number	UTL MMS ID								
"Händel, Georg Friedrich$d1685-1759$036552"	"Joseph. A sacred oratorio in score, composed in the year 1746 [London, Samuel Arnold; John Longman; Broderip]"	990025783	H 1541										
"Händel, Georg Friedrich$d1685-1759$036552"	"Twelve sonatas or solo's for the german flute, hautboy and violin, published about the year 1724 [London, Samuel Arnold; John Longman; Broderip]"	990025794	H 1552										
"Händel, Georg Friedrich$d1685-1759$036552"	"L'Allegro, il pensieroso, ed il moderato. The words taken from Milton, the musick composed in the year 1739 [London, Samuel Arnold; John Longman; Broderip]"	990025797	H 1555										
"Händel, Georg Friedrich$d1685-1759$036552"	"A short Te Deum [D] in score, composed for Her late Majesty Queen Caroline in the year 1737 [London, Samuel Arnold; John Longman; Broderip]"	990025739	H 1497										
"Händel, Georg Friedrich$d1685-1759$036552"	"A grand Jubilate, composed in the year 1713 for the peace of Utrech[t] [London, Samuel Arnold; John Longman; Broderip]"	990025742	H 1500										
"Händel, Georg Friedrich$d1685-1759$036552"	"The Choice of Hercules. In score, composed in the year 1745 [London, Samuel Arnold; John Longman; Broderip]"	990025759	H 1517										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem IV: O sing unto the Lord] ... Anthem VI [London, Samuel Arnold; John Longman; Broderip]"	990025770	H 1528										
"Händel, Georg Friedrich$d1685-1759$036552"	"Saul. A sacred oratorio in score, composed in the year 1740 [London, Samuel Arnold; John Longman; Broderip]"	990025784	H 1542										
"Händel, Georg Friedrich$d1685-1759$036552"	"Jephtha. A sacred oratorio. In score, composed in the year 1751 [London, Samuel Arnold; John Longman; Broderip]"	990025785	H 1543										
"Händel, Georg Friedrich$d1685-1759$036552"	"Lessons for the harpsichord, first published in the year 1720 [London, Samuel Arnold; John Longman; Broderip]"	990025788	H 1546										
"Händel, Georg Friedrich$d1685-1759$036552"	"Agrippina. Opera in tre atti rappresentata al teatro di Venizzia nell' anno 1709 [London, Samuel Arnold; John Longman; Broderip; London, Samuel Arnold; John Longman; Broderip]"	990025796	H 1554										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem XIV: Sing unto God]. Anthem, for the wedding of Frederick Prince of Wales, and the Princess of Saxa-Gotha, composed in the year 1736 [London, Samuel Arnold; John Longman; Broderip]"	990025798	H 1556										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Coronation anthems I: Zadock, the priest]. Anthem, for the coronation of George II, composed in the year 1727 [London, Samuel Arnold; John Longman; Broderip]"	990025803	H 1561										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Terpsicore/Il pastor fido]. Masque consisting of a prelude, airs, duettes, a chorus, and dances [London, Samuel Arnold; John Longman; Broderip]"	990025805	H 1563										
"Händel, Georg Friedrich$d1685-1759$036552"	"Hercules. An oratorio in score, composed in the year 1744 [London, Samuel Arnold; John Longman; Broderip]"	990025752	H 1510										
"Händel, Georg Friedrich$d1685-1759$036552"	"Judas Macchabaeus. A sacred oratorio in score, with all the additional alterations, composed in the year 1746 [London, Samuel Arnold; John Longman; Broderip]"	990025753	H 1511										
"Händel, Georg Friedrich$d1685-1759$036552"	"Six sonatas [op. 2] for two violins, two hautboys, or two german flutes and a violoncello, first published at Amsterdam 1731 [London, Samuel Arnold; John Longman; Broderip]"	990025755	H 1513										
