UTL Catkey	100	245	260	300	RISM A number	RISM B number	RISM ID	Correct A number	Correct B number	CDN-Tu?	Notes	RISM ID no	[ACTUAL NUMBERS]	New 510
1160353	"Edelmann, Jean-Frédéric,1749-1794"	10$aAriane dans lisle de Naxos :$bdrame lirique en un acte : representé pour la premiere fois par l'Academie royale de musique le 24. septembre 1782 /$cpar M. Edelmann ; les paroles sont de M. Moline ; gravé par G. Magnian.	"\\$aA Paris :$bChez l'Auteur ...,$c[1782]"	"[1] leaf, score (10, 96 p.)"	E 443		990016825			no		RISM ID no. 	990016825	RISM ID no. 990016825
1160789	"Dauvergne, Antoine,1713-1797."	14$aLes amours de Tempé :$bballet heroïque en quatre entrées /$cpar Mr. Dauvergne ... ; representé pour la premiere fois le 7 novembre 1752. par l'Academie royale de musique ... ; gravé par le sr. Hue.	"\\$aA Paris :$bChez l'auteur ..., Madame Boivin ..., Monsieur Le Clerc ...; imprimée par Auguste de Loraine,$c[1752]"	"[1] leaf, score (150 p.)"	D 1092		990012972			No		RISM ID no. 	990012972	RISM ID no. 990012972
1215253	"Rameau, Jean-Philippe,1683-1764"	"00$aPlatée :$bcomédie-ballet /$cmise en musique par M. Rameau, et donnée par l'Académie royal de musique, pour le carnaval de 1749. le 4. février même année."	"0\$aA Paris :$bChez L'auteur ..., La veuve Boivin ..., M. Leclair ...,$c[1750?]"	"1 vocal score ([1], 38, 125 p.)"	R 164		990053585			No		RISM ID no. 	990053585	RISM ID no. 990053585
1222117	"Devienne, François,1759-1803."	14$aLes visitandines :$bcomédie en deux actes et en prose /$cpar Mr. Picard ; représentée pour la premiere fois par les comédiens du Théâtre de la rue Feydeau le samedi sept juillet 1792 ; mises en musique ... par Mr. F. Devienne.	"0\$aA Paris :$bChez Cousineau ...,$c[1792?]"	"1 score ([1], 152 p.)"	D 1869		990013700			No		RISM ID no. 	990013700	RISM ID no. 990013700
1223128	"Dalayrac, N.(Nicolas),1753-1809"	"11$a[Sargines,$bou, L'eleve de l'amour : comédie en quatre actes en prose /$cpar M. Monvel ; representée pour la premiere fois par les comédiens italiens ordinaires du roi le mercredi 14 mai 1788 ; mise en musique par M. Dal*** ; oeuvre IX."	"0\$aParis :$bChez Le Duc,$c1788?]"	"1 score ([1], 241 p.)"	D 583		990012501			No		RISM ID no. 	990012501	RISM ID no. 990012501
1223945	"Kreutzer, Rodolphe,1766-1831."	"11$a[Paul et Virginie :$bcomédie en prose et en trois actes /$cparoles de M*** ; representée pour la première fois par les Comediens italiens, le samedy 15 janvier 1791 ; mise en musique par M. Kreutzer ; gravé par Huguet."	"0\$aParis :$bChez Cherubini, Méhul, Kreutzer, Rode, N. Isouard et Boieldieu,$c1802?]"	"1 score ([1], 199 p.)"	K 2146		990034929			No		RISM ID no. 	990034929	RISM ID no. 990034929
1232654	"Mozart, Wolfgang Amadeus,1756-1791."	10$aCosi fan tutte :$bdramma giocoso in due atti /$cmesso in musica dal signor W.A. Mozart ; édition dédiée aux souscripteurs par l'éditeur ...	"\\$aA Paris :$bAu magasin de J. Frey ...,$c[1822?]"	"1 score ([1], vii, 516 p.)"	M 4694		990043260			No		RISM ID no. 	990043260	RISM ID no. 990043260
1232859	"Blaise,M.(Adolphe),d. 1772"	"10$aAirs détachés de Gertrude et Isabelle,$bou, Des silphes supposés : comédie en un acte : representée sur le Theâtre de la Comedie italienne /$cgravés par Mad. De Lusse."	"0\$aA Paris :$bChez M. de la Chevardiere ...,$c[between 1765 and 1779]"	22 p. of music.	B 2812		990005565			No		RISM ID no. 	990005565	RISM ID no. 990005565
1341222	"Bréval, J. B.(Jean Baptiste),1753-1823."	10$aSix duetts for a violin and violoncello ... /$ccomposed by J.B. Breval ; opera 19 ...	"\\$aLondon:$bPrinted by Muzio Clementi & Co. ...,$c[180-]"	part 1 (13 p.)							"might be 	B 4383/990007000, which RISM says we have, there's just not enough info in our publisher field to confirm"			
1341698		10$aRicordi per li signori compositori dell'Accademia de' signori filarmonici.	"0\$aIn Bologna :$bPer gli eredi d'Antonio Pisarri,$c1689."	"25, [1] p."		"VI, 980"	not in RISM							
